year_birth,age,education,marital_status,income,kidhome,teenhome,dt_customer,customer_since_years,column1,unnamed:_0,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response
1957,68,Graduation,Single,58138,0,0,04-09-2012,12,5524,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1
1954,71,Graduation,Single,46344,1,1,08-03-2014,11,2174,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0
1965,60,Graduation,Together,71613,0,0,21-08-2013,11,4141,2,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0
1984,41,Graduation,Together,26646,1,0,10-02-2014,11,6182,3,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0
1981,44,Phd,Married,58293,1,0,19-01-2014,11,5324,4,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0
1967,58,Master,Together,62513,0,1,09-09-2013,11,7446,5,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0
1971,54,Graduation,Divorced,55635,0,1,13-11-2012,12,965,6,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0
1985,40,Phd,Married,33454,1,0,08-05-2013,11,6177,7,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0
1974,51,Phd,Together,30351,1,0,06-06-2013,11,4855,8,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1
1950,75,Phd,Together,5648,1,1,13-03-2014,11,5899,9,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0
1983,42,Graduation,Married,unknown,1,0,15-11-2013,11,1994,10,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0
1976,49,Basic,Married,7500,0,0,13-11-2012,12,387,11,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0
1959,66,Graduation,Divorced,63033,0,0,15-11-2013,11,2125,12,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0
1952,73,Master,Divorced,59354,1,1,15-11-2013,11,8180,13,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0
1987,38,Graduation,Married,17323,0,0,10-10-2012,12,2569,14,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0
1946,79,Phd,Single,82800,0,0,24-11-2012,12,2114,15,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1
1980,45,Graduation,Married,41850,1,1,24-12-2012,12,9736,16,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0
1946,79,Graduation,Together,37760,0,0,31-08-2012,12,4939,17,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0
1949,76,Master,Married,76995,0,1,28-03-2013,12,6565,18,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0
1985,40,2N Cycle,Single,33812,1,0,03-11-2012,12,2278,19,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0
1982,43,Graduation,Married,37040,0,0,08-08-2012,12,9360,20,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0
1979,46,Graduation,Married,2447,1,0,06-01-2013,12,5376,21,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0
1949,76,Phd,Married,58607,0,1,23-12-2012,12,1993,22,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0
1954,71,Phd,Married,65324,0,1,11-01-2014,11,4047,23,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0
